2024-07-01,2024-06-28,2024-06-27,2024-06-26,2024-06-25,2024-06-24,2024-06-21,2024-06-20,Symbol
33.55,33.15,35.400000000000006,33.75,35.45,35.2,35.95,37.35,WIPRO
661.75,665.25,725.15,645.2,600.55,615.6,627.1500000000001,0.0,ULTRACEMCO
166.8,166.7,177.85,182.4,186.15,195.3,203.95,214.85,TITAN
89.3,95.9,104.9,99.25,58.1,99.55,104.3,62.15,TECHM
197.05,199.55,209.45,198.5,209.4,205.55,211.35,215.3,TCS
10.55,10.95,11.6,0.0,11.95,0.0,0.0,0.0,TATASTEEL
53.6,54.3,56.9,56.1,57.45,61.05,65.85,68.65,TATAMOTORS
51.45,52.25,54.7,54.25,55.3,61.85,36.9,67.15,TATACONSUM
62.650000000000006,67.25,73.0,75.3,76.1,76.95,45.0,44.25,SUNPHARMA
203.2,211.25,0.0,236.05,120.95,111.85,0.0,217.05,SHRIRAMFIN
45.0,44.95,46.85,48.6,48.5,47.8,50.900000000000006,52.6,SBIN
82.65,84.9,41.1,89.25,86.05,82.65,88.25,89.75,SBILIFE
137.25,146.6,156.55,164.7,148.85,153.89999999999998,159.55,154.45,RELIANCE
20.05,21.25,22.2,22.35,22.4,13.2,23.05,23.0,POWERGRID
18.25,18.65,18.8,19.35,19.55,20.6,21.6,11.85,ONGC
22.75,23.55,25.05,24.6,24.45,25.95,26.6,26.55,NTPC
115.65,116.7,126.25,124.35,119.1,74.4,139.14999999999998,153.9,NESTLEIND
589.9,628.25,646.5,665.2,697.55,696.1,734.4,743.0,MARUTI
172.85,182.9,195.45,0.0,206.55,212.3,239.15,105.15,M&M
381.15,384.3,398.05,378.9,363.8,368.35,209.3,209.75,LTIM
173.2,187.95,198.9,199.6,203.95,213.8,220.95,214.8,LT
78.6,80.3,86.0,84.4,84.8,79.9,83.05,79.65,KOTAKBANK
53.1,53.85,58.05,56.650000000000006,58.6,61.650000000000006,67.2,67.55,JSWSTEEL
17.25,17.4,18.95,19.450000000000003,20.0,20.85,21.4,21.1,ITC
89.5,90.55,96.5,94.15,98.5,95.2,97.45,104.3,INFY
79.30000000000001,83.55000000000001,85.3,91.15,91.15,90.85,86.75,89.85,INDUSINDBK
53.85,54.45,58.8,61.8,59.650000000000006,58.35,53.05,55.45,ICICIBANK
102.65,104.1,113.0,111.1,68.65,115.0,117.75,120.15,HINDUNILVR
41.15,43.45,45.3,46.6,49.25,49.9,29.45,30.0,HINDALCO
336.9,342.1,346.8,354.1,361.85,367.85,431.6,387.9,HEROMOTOCO
33.4,33.7,36.85,37.75,37.6,35.900000000000006,38.35,37.7,HDFCLIFE
84.25,80.05,86.2,86.2,87.0,84.05,81.6,78.65,HDFCBANK
84.85,86.5,90.95,88.85,91.25,91.9,97.5,99.15,HCLTECH
140.5,142.0,163.55,162.10000000000002,83.45,83.05,74.0,168.45,GRASIM
254.5,280.20000000000005,277.55,285.95000000000005,298.65,0.0,0.0,195.4,EICHERMOT
299.65,321.45000000000005,352.9,312.05,326.0,163.25,342.95,185.5,DRREDDY
254.65,268.35,0.0,162.45,172.1,157.45,0.0,288.05,DIVISLAB
29.7,30.5,32.0,33.65,34.5,35.15,37.400000000000006,36.55,COALINDIA
65.75,67.4,72.80000000000001,76.35,75.7,77.9,89.15,90.85,CIPLA
229.35,242.95,270.35,278.5,312.9,260.65,174.8,152.45,BRITANNIA
20.45,21.35,22.65,23.55,24.3,25.35,27.55,0.0,BPCL
78.75,90.35,91.65,91.45,82.05,81.6,48.4,77.95,BHARTIARTL
425.5,414.75,437.4500000000001,449.6,427.85,430.1,442.3,460.4,BAJFINANCE
83.15,87.35,91.05,92.75,93.25,91.35,90.55,53.4,BAJAJFINSV
528.3499999999999,540.0,566.75,605.25,598.8,606.25,567.0,650.0,BAJAJ-AUTO
64.75,67.5,72.35,74.25,76.6,67.6,67.94999999999999,38.3,AXISBANK
135.0,136.60000000000002,139.39999999999998,137.15,138.75,143.8,57.5,89.85,ASIANPAINT
309.85,326.4,349.75,366.65,386.1,376.4,0.0,0.0,APOLLOHOSP
96.45,103.2,106.95,112.4,113.8,116.55,124.45,120.3,ADANIPORTS
230.05,249.2,257.9,266.70000000000005,159.55,277.15,296.25,293.3,ADANIENT
