Symbol,LTP,CombinedPremium,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,2024-07-01,2024-06-28,2024-06-27,2024-06-26,2024-06-25,2024-06-24,2024-06-21,2024-06-20
LTIM,5472.75,354,6.468411676031245,53100.0,381.15,384.3,398.05,378.9,363.8,368.35,209.3,209.75
BHARTIARTL,1462.5,76,5.196581196581197,36100.0,78.75,90.35,91.65,91.45,82.05,81.6,48.4,77.95
HINDALCO,695.1,40,5.754567688102432,56000.0,41.15,43.45,45.3,46.6,49.25,49.9,29.45,30.0
SBILIFE,1511.45,73,4.829799199444242,27375.0,82.65,84.9,41.1,89.25,86.05,82.65,88.25,89.75
INFY,1592.35,91,5.71482400226081,36400.0,89.5,90.55,96.5,94.15,98.5,95.2,97.45,104.3
ADANIPORTS,1484.3,90,6.063464259246784,36000.0,96.45,103.2,106.95,112.4,113.8,116.55,124.45,120.3
POWERGRID,330.75,19,5.744520030234316,68400.0,20.05,21.25,22.2,22.35,22.4,13.2,23.05,23.0
DIVISLAB,4626.6,214,4.625426879349846,42800.0,254.65,268.35,0.0,162.45,172.1,157.45,0.0,288.05
SHRIRAMFIN,2929.5,190,6.485748421232292,57000.0,203.2,211.25,0.0,236.05,120.95,111.85,0.0,217.05
HEROMOTOCO,5641.7,314,5.5656982824326,47100.0,336.9,342.1,346.8,354.1,361.85,367.85,431.6,387.9
NTPC,371.7,21,5.649717514124294,31500.0,22.75,23.55,25.05,24.6,24.45,25.95,26.6,26.55
DRREDDY,6349.3,327,5.150174034932984,40875.0,299.65,321.45000000000005,352.9,312.05,326.0,163.25,342.95,185.5
TCS,3982.95,191,4.79544056541006,33425.0,197.05,199.55,209.45,198.5,209.4,205.55,211.35,215.3
TATASTEEL,175.25,10,5.706134094151213,55000.0,10.55,10.95,11.6,0.0,11.95,0.0,0.0,0.0
M&M,2867.65,162,5.649224975153872,56700.0,172.85,182.9,195.45,0.0,206.55,212.3,239.15,105.15
JSWSTEEL,942.85,50,5.30307047780665,33750.0,53.1,53.85,58.05,56.650000000000006,58.6,61.650000000000006,67.2,67.55
KOTAKBANK,1820.15,78,4.285361096612917,31200.0,78.6,80.3,86.0,84.4,84.8,79.9,83.05,79.65
WIPRO,530.0,35,6.60377358490566,52500.0,33.55,33.15,35.400000000000006,33.75,35.45,35.2,35.95,37.35
MARUTI,12191.75,536,4.396415608915865,26800.0,589.9,628.25,646.5,665.2,697.55,696.1,734.4,743.0
APOLLOHOSP,6182.9,285,4.609487457342024,35625.0,309.85,326.4,349.75,366.65,386.1,376.4,0.0,0.0
HCLTECH,1463.7,80,5.46560087449614,28000.0,84.85,86.5,90.95,88.85,91.25,91.9,97.5,99.15
CIPLA,1488.95,60,4.029685348735686,39000.0,65.75,67.4,72.80000000000001,76.35,75.7,77.9,89.15,90.85
EICHERMOT,4667.15,240,5.1423245449578445,42000.0,254.5,280.20000000000005,277.55,285.95000000000005,298.65,0.0,0.0,195.4
SUNPHARMA,1521.0,60,3.9447731755424065,21000.0,62.650000000000006,67.25,73.0,75.3,76.1,76.95,45.0,44.25
BAJAJFINSV,1590.65,80,5.029390500738692,40000.0,83.15,87.35,91.05,92.75,93.25,91.35,90.55,53.4
ONGC,274.9,16,5.820298290287377,30800.0,18.25,18.65,18.8,19.35,19.55,20.6,21.6,11.85
INDUSINDBK,1463.55,78,5.329507020600595,39000.0,79.30000000000001,83.55000000000001,85.3,91.15,91.15,90.85,86.75,89.85
BAJAJ-AUTO,9594.8,533,5.5550923416850795,39975.0,528.3499999999999,540.0,566.75,605.25,598.8,606.25,567.0,650.0
TECHM,1477.8,83,5.616456895385032,49800.0,89.3,95.9,104.9,99.25,58.1,99.55,104.3,62.15
COALINDIA,477.9,26,5.440468717304876,54600.0,29.7,30.5,32.0,33.65,34.5,35.15,37.400000000000006,36.55
